business_id|insertedAtTimestamp|name|address|coordinates|number_of_reviews|rating|zip_code|cuisine
gsZUN1Vtpd3P7rdvANbrmg|2024-10-17 21:27:50.441211|Indian Kitchen|739 Grand St, Brooklyn, NY 11211|40.711924,-73.943326|237|4.1|11211|Indian
nQfPwIasXCi8NwNKq65vfw|2024-10-17 21:27:50.441227|Mysttik Masaala|152 West 52nd St, Inside Urban Space, New York, NY 10019|40.7617745,-73.98173|164|4.2|10019|Indian
l_Td-NFRIdxu7m6pgJUqhQ|2024-10-17 21:27:50.441243|Manhattan Valley|2636 Broadway 100 St, New York, NY 10025|40.796965,-73.969741|131|3.7|10025|Indian
x3NeZ4xToUxVKDoZ32D5tg|2024-10-17 21:27:50.441260|NY Dosas|50 Washington Sq S, New York, NY 10014|40.73057418711454,-73.99883669999876|565|4.5|10014|Indian
HFIu45xr93jqchnN1YVJeQ|2024-10-17 21:27:50.441277|Masalawala & Sons|365 5th Ave, Brooklyn, NY 11215|40.67148382626093,-73.9842655|127|3.9|11215|Indian
FQi7AP2j9UYc1c-VTF00rA|2024-10-17 21:27:50.441293|Wok In The Clouds|127 E 28th St, New York, NY 10016|40.7429,-73.9828|35|4.5|10016|Indian
FvnExtQHPfz_crDCBTQ1iQ|2024-10-17 21:27:50.441309|Mint Masala|95 Macdougal St, New York, NY 10012|40.729513,-74.001138|361|4.2|10012|Indian
iYh7mB7PDd5ZvZZ4lFPF1w|2024-10-17 21:27:50.441324|Anand Indian Cuisine|304 E 78th St, New York, NY 10075|40.77232,-73.955241|176|4.1|10075|Indian
bFUVp77ApNkACqXvgiekPQ|2024-10-17 21:27:50.441340|Bhatti Indian Grill|100 Lexington Ave, New York, NY 10016|40.74221,-73.98308|929|3.7|10016|Indian
ogEtpbCgxv38PyB3ebivqQ|2024-10-17 21:27:50.441356|Yaar Indian Restaurant|22-55 31st St, Astoria, NY 11105|40.774803026853,-73.9120166023413|466|4.5|11105|Indian
t_tWuzMEsoD9GDgAm_0l7g|2024-10-17 21:27:50.441373|Swagat|411 Amsterdam Ave, New York, NY 10024|40.78353,-73.97782|446|3.7|10024|Indian
7rTl_d-dqlK5dGG31ogSBg|2024-10-17 21:27:50.441388|Nanking|134-07 Rockaway Blvd, South Ozone Park, NY 11420|40.67484,-73.80398|404|3.8|11420|Indian
wSCZdZgMG_SXAh0AwxHw9Q|2024-10-17 21:27:50.441403|Ammi|25 11th Ave, Kiosk 13, New York, NY 10011|40.74328740195657,-74.00910522916887|19|4.4|10011|Indian
xWUL-j6TQyKQHIfOtetu-Q|2024-10-17 21:27:50.441421|HanGawi|12 E 32nd St, New York, NY 10016|40.746612323020926,-73.98476051936564|1459|4.1|10016|Indian
lIE4KHySIenwPbta1JuM8Q|2024-10-17 21:27:50.441437|Mumbai Masala|1768 Amsterdam Ave, New York, NY 10031|40.82695,-73.94676|313|4.4|10031|Indian
PEEw2ip9VrmiMBP4b6op_g|2024-10-17 21:27:50.441453|Govinda's Vegetarian Lunch|305 Schermerhorn St, Brooklyn, NY 11217|40.68771,-73.98241|191|4.6|11217|Indian
